,Match_ID,date_str,Team,T1_Won,R2.0_T1,ACS_T1,K_T1,D_T1,A_T1,+/- K/D_T1,KAST_T1,ADR_T1,HS%_T1,FK_T1,FD_T1,+/- FK/FD_T1,vs Team,R2.0_T2,ACS_T2,K_T2,D_T2,A_T2,+/- K/D_T2,KAST_T2,ADR_T2,HS%_T2,FK_T2,FD_T2,+/- FK/FD_T2
500,2024-05-11_Dragon Ranger Gaming/EDward Gaming,2024-05-11,Dragon Ranger Gaming,0,0.0,193.0,48.6,53.0,17.2,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,EDward Gaming,0.0,193.0,48.6,53.0,17.2,-4.4,0.0,0.0,0.0,0.0,0.0,0.0
501,2024-05-11_FNATIC/FUT Esports,2024-05-11,FNATIC,1,1.064,213.0,69.2,61.4,32.4,7.8,77.0,144.8,28.8,10.4,8.2,2.2,FUT Esports,1.064,213.0,69.2,61.4,32.4,7.8,77.0,144.8,28.8,10.4,8.2,2.2
502,2024-05-11_G2 Esports/LEVIATÁN,2024-05-11,G2 Esports,1,0.8779999999999999,200.2,84.0,85.6,35.4,-1.6,71.6,132.4,28.4,12.2,11.6,0.6,LEVIATÁN,0.8779999999999999,200.2,84.0,85.6,35.4,-1.6,71.6,132.4,28.4,12.2,11.6,0.6
503,2024-05-11_Gen.G/T1,2024-05-11,Gen.G,1,1.082,224.4,48.6,40.4,22.8,8.2,79.0,147.0,28.2,7.8,4.4,3.4,T1,1.082,224.4,48.6,40.4,22.8,8.2,79.0,147.0,28.2,7.8,4.4,3.4
504,2024-05-12_100 Thieves/G2 Esports,2024-05-12,100 Thieves,1,1.0379999999999998,213.0,48.6,40.2,16.4,8.4,77.4,141.2,31.4,7.2,5.4,1.8,G2 Esports,1.0379999999999998,213.0,48.6,40.2,16.4,8.4,77.4,141.2,31.4,7.2,5.4,1.8
505,2024-05-12_EDward Gaming/FunPlus Phoenix,2024-05-12,EDward Gaming,1,0.0,206.4,66.2,61.8,24.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,FunPlus Phoenix,0.0,206.4,66.2,61.8,24.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0
506,2024-05-12_FNATIC/Team Heretics,2024-05-12,FNATIC,1,1.036,205.8,77.4,68.0,35.4,9.4,74.4,133.6,26.0,11.0,10.4,0.6,Team Heretics,1.036,205.8,77.4,68.0,35.4,9.4,74.4,133.6,26.0,11.0,10.4,0.6
507,2024-05-12_Gen.G/Paper Rex,2024-05-12,Gen.G,0,0.9800000000000001,197.0,75.0,79.0,32.0,-4.0,69.4,133.0,28.4,10.4,11.8,-1.4,Paper Rex,0.9800000000000001,197.0,75.0,79.0,32.0,-4.0,69.4,133.0,28.4,10.4,11.8,-1.4
508,2024-05-23_FUT Esports/FunPlus Phoenix,2024-05-23,FUT Esports,0,0.0,189.6,46.2,49.8,22.4,-3.6,0.0,122.6,24.6,6.0,7.8,-1.8,FunPlus Phoenix,0.0,189.6,46.2,49.8,22.4,-3.6,0.0,122.6,24.6,6.0,7.8,-1.8
509,2024-05-23_G2 Esports/T1,2024-05-23,G2 Esports,1,0.0,191.0,42.2,45.4,15.8,-3.2,0.0,125.6,27.6,7.0,5.2,1.8,T1,0.0,191.0,42.2,45.4,15.8,-3.2,0.0,125.6,27.6,7.0,5.2,1.8
510,2024-05-24_Dragon Ranger Gaming/Team Heretics,2024-05-24,Dragon Ranger Gaming,0,0.0,168.8,19.8,29.8,8.4,-10.0,0.0,117.0,29.0,1.6,5.6,-4.0,Team Heretics,0.0,168.8,19.8,29.8,8.4,-10.0,0.0,117.0,29.0,1.6,5.6,-4.0
511,2024-05-24_Gen.G/LEVIATÁN,2024-05-24,Gen.G,1,0.0,196.8,40.4,39.0,11.4,1.4,0.0,131.8,28.0,5.0,6.6,-1.6,LEVIATÁN,0.0,196.8,40.4,39.0,11.4,1.4,0.0,131.8,28.0,5.0,6.6,-1.6
512,2024-05-25_FunPlus Phoenix/Gen.G,2024-05-25,FunPlus Phoenix,0,0.0,188.2,48.4,55.2,19.6,-6.8,0.0,127.6,35.6,6.6,8.2,-1.6,Gen.G,0.0,188.2,48.4,55.2,19.6,-6.8,0.0,127.6,35.6,6.6,8.2,-1.6
513,2024-05-25_G2 Esports/Team Heretics,2024-05-25,G2 Esports,1,0.0,193.4,41.6,44.4,20.2,-2.8,0.0,127.6,23.0,6.4,6.0,0.4,Team Heretics,0.0,193.4,41.6,44.4,20.2,-2.8,0.0,127.6,23.0,6.4,6.0,0.4
514,2024-05-26_Dragon Ranger Gaming/FUT Esports,2024-05-26,Dragon Ranger Gaming,0,0.0,207.8,34.4,36.0,12.4,-1.6,0.0,145.4,26.8,5.2,4.6,0.6,FUT Esports,0.0,207.8,34.4,36.0,12.4,-1.6,0.0,145.4,26.8,5.2,4.6,0.6
515,2024-05-26_LEVIATÁN/T1,2024-05-26,LEVIATÁN,1,0.0,228.0,34.2,26.0,13.6,8.2,0.0,149.8,29.0,4.0,4.4,-0.4,T1,0.0,228.0,34.2,26.0,13.6,8.2,0.0,149.8,29.0,4.0,4.4,-0.4
516,2024-05-27_FUT Esports/LEVIATÁN,2024-05-27,FUT Esports,1,0.0,217.4,47.4,43.6,17.0,3.8,0.0,140.4,29.0,6.0,6.6,-0.6,LEVIATÁN,0.0,217.4,47.4,43.6,17.0,3.8,0.0,140.4,29.0,6.0,6.6,-0.6
517,2024-05-27_FunPlus Phoenix/Team Heretics,2024-05-27,FunPlus Phoenix,0,0.0,198.0,48.2,49.0,19.6,-0.8,0.0,134.4,33.4,6.6,7.0,-0.4,Team Heretics,0.0,198.0,48.2,49.0,19.6,-0.8,0.0,134.4,33.4,6.6,7.0,-0.4
518,2024-05-30_100 Thieves/FUT Esports,2024-05-30,100 Thieves,1,0.0,229.6,28.2,16.2,10.0,12.0,0.0,148.6,29.0,4.6,2.0,2.6,FUT Esports,0.0,229.6,28.2,16.2,10.0,12.0,0.0,148.6,29.0,4.6,2.0,2.6
